title,price,sku,description,sizes,colors,images,type,product_link
Diners Men'S Round Neck T-Shirt SKU: NA857-N-BLUE,"Rs.1,042.50",NA857-N-BLUE(4;2;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M,XL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA857-N-BLUE-RS-1390-01_compact.jpg?v=1650111680,https://cdn.shopify.com/s/files/1/2219/4051/products/NA857-N-BLUE-RS-1390-02_compact.jpg?v=1650111680,https://cdn.shopify.com/s/files/1/2219/4051/products/NA857-N-BLUE-RS-1390-03_compact.jpg?v=1650111680",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-sku-na857-n-blue
Diners Men'S Polo T-Shirt,"Rs.2,890.00",NA842-N-BLUE,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,N-BLUE","S,M,L,XL,XXL,XXXL,N-BLUE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA842-N-BLUE-RS-2890-01_compact.jpg?v=1661604157,https://cdn.shopify.com/s/files/1/2219/4051/products/NA842-N-BLUE-RS-2890-02_compact.jpg?v=1661604157,https://cdn.shopify.com/s/files/1/2219/4051/products/NA842-N-BLUE-RS-2890-03_compact.jpg?v=1661604157",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-40
Diners Men'S Polo T-Shirt SKU: NA879-MULTI,"Rs.3,667.50",NA879-MULTI(4;6;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,XL,MULTI","S,M,L,XL,XXL,XXXL,MULTI","https://cdn.shopify.com/s/files/1/2219/4051/products/NA879-Multi-Rs-4890-01_compact.jpg?v=1654350798,https://cdn.shopify.com/s/files/1/2219/4051/products/NA879-Multi-Rs-4890-02_compact.jpg?v=1654350797,https://cdn.shopify.com/s/files/1/2219/4051/products/NA879-Multi-Rs-4890-03_compact.jpg?v=1654350798",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na879-multi
Diners Men'S Round Neck T-Shirt SKU: NA858-RED,"Rs.1,267.50",NA858-RED(4;5;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA858-RED-RS-1690-01_compact.jpg?v=1650112315,https://cdn.shopify.com/s/files/1/2219/4051/products/NA858-RED-RS-1690-02_compact.jpg?v=1650112318,https://cdn.shopify.com/s/files/1/2219/4051/products/NA858-RED-RS-1690-03_compact.jpg?v=1650112315",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-sku-na858-red
Diners Men'S Polo T-Shirt SKU: NA829-RED,"Rs.1,646.25",NA829-RED(3;1;B)(3;2;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","M,XL,RED","S,M,L,XL,XXL,XXXL,RED","https://cdn.shopify.com/s/files/1/2219/4051/products/NA829-RED-RS-2195-01_compact.jpg?v=1652708291,https://cdn.shopify.com/s/files/1/2219/4051/products/NA829-RED-RS-2195-02_compact.jpg?v=1652708291,https://cdn.shopify.com/s/files/1/2219/4051/products/NA829-RED-RS-2195-03_compact.jpg?v=1652708291",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na829-red
Diners Men'S Polo T-Shirt,"Rs.2,890.00",NA842-GREEN(2;3;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","M,L,XL,XXL,GREEN","S,M,L,XL,XXL,XXXL,GREEN","https://cdn.shopify.com/s/files/1/2219/4051/products/NA842-GREEN-RS-2890-01_compact.jpg?v=1660982538,https://cdn.shopify.com/s/files/1/2219/4051/products/NA842-GREEN-RS-2890-02_compact.jpg?v=1660982538,https://cdn.shopify.com/s/files/1/2219/4051/products/NA842-GREEN-RS-2890-03_compact.jpg?v=1660982538",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-33
Diners Men'S Polo T-Shirt,"Rs.2,167.50",NA830-BLUE,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","M,BLUE","S,M,XL,XXL,XXXL,BLUE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA830-BLUE-RS-2890-01_compact.jpg?v=1661603238,https://cdn.shopify.com/s/files/1/2219/4051/products/NA830-BLUE-RS-2890-02_compact.jpg?v=1661603239",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-35
Diners Men'S Polo T-Shirt SKU: NA883-WHITE,"Rs.3,667.50",NA883-WHITE(5;5;A)(5;6;A),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,WHITE","S,M,L,XL,XXL,XXXL,WHITE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA883-White-Rs-4890-01_compact.jpg?v=1654261270,https://cdn.shopify.com/s/files/1/2219/4051/products/NA883-White-Rs-4890-02_compact.jpg?v=1654261269,https://cdn.shopify.com/s/files/1/2219/4051/products/NA883-White-Rs-4890-03_compact.jpg?v=1654261269",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na883-white
Diner'S Men'S V Neck T-Shirt SKU: NA734-R-BLUE,Rs.975.00,NA734-R-BLUE(1;4;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M,L,R-BLUE","S,M,L,XL,XXL,XXXL,R-BLUE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA734-R-BLUE-RS-1950-01_compact.jpg?v=1619783535,https://cdn.shopify.com/s/files/1/2219/4051/products/NA734-R-BLUE-RS-1950_compact.jpg?v=1623064824,https://cdn.shopify.com/s/files/1/2219/4051/products/NA734-R-BLUE-RS-1950-02_compact.jpg?v=1619783535",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-v-neck-t-shirt-sku-na734-r-blue
Diners Men'S Polo T-Shirt SKU: NA890-BLACK,"Rs.3,667.50",NA890-BLACK(6;1;A)(6;2;A),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXXL,BLACK","S,M,L,XL,XXL,XXXL,BLACK","https://cdn.shopify.com/s/files/1/2219/4051/products/NA890-Black-Rs-4890-01_compact.jpg?v=1654261742,https://cdn.shopify.com/s/files/1/2219/4051/products/NA890-Black-Rs-4890-02_compact.jpg?v=1654261741,https://cdn.shopify.com/s/files/1/2219/4051/products/NA890-Black-Rs-4890-03_compact.jpg?v=1654261741",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na890-black
Diners Men'S Polo T-Shirt SKU: NA888-N-BLUE,"Rs.3,667.50",NA888-N-BLUE(5;4;C)(5;5;C)(5;6;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,N-BLUE","S,M,L,XL,XXL,XXXL,N-BLUE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA888-N-Blue-Rs-4890-01_compact.jpg?v=1654351112,https://cdn.shopify.com/s/files/1/2219/4051/products/NA888-N-Blue-Rs-4890-02_compact.jpg?v=1654351111,https://cdn.shopify.com/s/files/1/2219/4051/products/NA888-N-Blue-Rs-4890-03_compact.jpg?v=1654351112",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na888-n-blue
